0,Run,Distance,Length,Counts
532,532,2.198555607002682,3.4096459818539113,24
533,533,3.1671815355205464,3.912312576960112,18
534,534,1.5509647181314212,3.481947381926125,11
535,535,2.707349012918166,3.9388904319996265,24
536,536,3.0038106322450306,3.6681478626091053,12
537,537,2.7888110835989517,3.328815719063782,6
538,538,2.086729376999206,2.5343699200767613,9
539,539,2.3966148619706704,2.930556515055659,7
540,540,0.9888630115423266,2.1487516505323447,4
541,541,2.6786679843674768,3.3645931255051873,11
542,542,1.858324126924647,3.3433132601535593,9
543,543,2.2812331387326217,2.9019565842403727,13
544,544,2.5715073702544595,3.483461852968084,14
545,545,1.2756648836617432,3.693386881290547,16
546,546,2.778759214987571,3.977099447141994,8
547,547,2.073272458990282,3.368176948906344,10
548,548,1.9191821247092158,3.453708173438981,6
549,549,2.3451516346259482,4.105559114645175,13
550,550,2.6113871765353744,3.347239175154958,13
551,551,1.7174977701463956,2.560860227536372,13
552,552,3.223921345292008,3.8397483262162906,15
553,553,2.861728159489297,3.1235865105148113,13
554,554,1.7990636767896349,3.429730715900059,8
555,555,2.9912099376867016,3.5562920041871844,7
556,556,2.9402720423848967,3.392862412926229,14
557,557,2.0516102851355864,3.515346132610888,6
558,558,2.296212716972426,3.65282004136544,8
559,559,2.929367161823351,3.6918092713810147,10
560,560,2.155018893968971,3.177871939514706,7
561,561,2.948610388959687,3.722414471854078,4
562,562,3.1000654286193705,3.96513624410295,14
563,563,1.2339390498263727,1.4672694619009508,4
564,564,2.514260151585066,3.218157011296314,14
565,565,3.023668447494079,3.958465379549846,20
566,566,2.137956691605039,3.6804373257691636,11
567,567,2.5152073381656077,3.5912437881898334,19
568,568,2.217272735214363,3.7528146045969546,8
569,569,3.1320980144980446,3.564402069645487,15
570,570,2.419433379405767,3.4040636242544395,10
571,571,2.5319478888868043,3.569711367969121,17
572,572,2.197172665453719,3.707618470606932,7
573,573,1.9959313870546562,2.913704355906142,17
574,574,2.368930912485141,3.3835150961709766,14
575,575,1.984007566463215,2.4155567344367697,5
576,576,2.6784089105098734,141.50604700750452,25
577,577,2.546418034143773,2.995514738272959,13
578,578,2.55270353221456,3.3762808399897164,8
579,579,2.969493678234843,3.4857870186276516,19
580,580,2.154463599262597,2.5941523223674934,13
581,581,2.0696577316164526,3.365345741058677,15
582,582,0.9829333278088244,3.6648201653208963,11
583,583,2.1215427535425335,3.3245993673876697,12
584,584,2.7678821268179554,3.853271692299273,11
585,585,2.1257341115673793,3.3709332362440727,13
586,586,1.538893253782716,2.5095109232273707,9
587,587,3.2421740164827684,3.6414235578809064,21
588,588,1.5203535894080167,4.046246853009931,12
589,589,2.704655806542674,3.2720149770734923,15
590,590,2.1362099948162627,3.9331497529161434,17
591,591,3.3437398574612063,3.6854959915585193,12
592,592,3.0535214563278563,4.07854774856814,10
593,593,1.9438966344642021,2.436887743750219,13
594,594,3.0780027535601446,3.7028747602004977,15
595,595,2.5912022543822317,3.7857263281474376,14
596,596,1.6710991624897664,2.5681099417067177,11
597,597,2.449644075750658,3.522491227055086,15
598,598,2.4002054876615992,3.3582965547563033,9
599,599,2.6090047110938386,3.2424810938919317,5
600,600,2.685691377329199,3.7153850159894684,10
601,601,2.643459782268699,3.7958260332978164,21
